Wk,Day,Date,Time,HomeTeam,Score,AwayTeam,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2019-08-16,18:30 (11:30),FFC Frankfurt,3–2,Turbine Potsdam,"2,550",Stadion am Brentanobad,Angelika Söder,Match Report,
1,Sat,2019-08-17,13:00 (06:00),Freiburg,1–3,Bayern Munich,"2,212",Möslestadion,Christina Biehl,Match Report,
1,Sat,2019-08-17,13:00 (06:00),USV Jena,1–6,Hoffenheim,487,Ernst-Abbe-Sportfeld,Sandra Stolz,Match Report,
1,Sun,2019-08-18,14:00 (07:00),Köln,2–1,MSV Duisburg,574,Südstadion,Miriam Schweinefuß,Match Report,
1,Sun,2019-08-18,14:00 (07:00),Essen,3–1,Leverkusen,"1,254",Stadion Essen,Susann Kunkel,Match Report,
1,Sun,2019-08-18,14:00 (07:00),Wolfsburg,1–0,Sand,"1,948",AOK Stadion,Christine Weigelt ,Match Report,
,,,,,,,,,,,
2,Fri,2019-08-23,19:15 (12:15),Bayern Munich,3–0,FFC Frankfurt,762,FC Bayern Campus Platz 1,Riem Hussein,Match Report,
2,Sat,2019-08-24,13:00 (06:00),Hoffenheim,4–0,Köln,280,Dietmar-Hopp-Stadion,Christine Weigelt ,Match Report,
2,Sun,2019-08-25,14:00 (07:00),Leverkusen,1–0,Freiburg,375,Jugendleistungszentrum Kurtekotten,Anna-Lena Heidenreich,Match Report,
2,Sun,2019-08-25,14:00 (07:00),MSV Duisburg,1–6,Wolfsburg,537,PCC-Stadion,Nadine Westerhoff,Match Report,
2,Sun,2019-08-25,14:00 (07:00),Turbine Potsdam,6–2,USV Jena,"1,400",Karl-Liebknecht-Stadion,Mirka Derlin,Match Report,
2,Sun,2019-08-25,14:00 (07:00),Sand,3–0,Essen,587,Orsay Stadion,Ines Appelmann,Match Report,
,,,,,,,,,,,
3,Fri,2019-09-13,19:15 (12:15),Köln,1–2,Turbine Potsdam,"1,010",Südstadion,Kathrin Heimann,Match Report,
3,Sun,2019-09-15,14:00 (07:00),Freiburg,0–0,Sand,"1,483",Möslestadion,Karoline Wacker,Match Report,
3,Sun,2019-09-15,14:00 (07:00),FFC Frankfurt,4–2,USV Jena,"1,410",Stadion am Brentanobad,Fabienne Michel,Match Report,
3,Sun,2019-09-15,14:00 (07:00),Wolfsburg,3–0,Hoffenheim,"1,902",AOK Stadion,Franziska Wildfeuer,Match Report,
3,Sun,2019-09-15,14:00 (07:00),Essen,2–1,MSV Duisburg,"1,560",Stadion Essen,Melissa Joos,Match Report,
3,Sun,2019-09-15,14:00 (07:00),Bayern Munich,1–2,Leverkusen,592,FC Bayern Campus Platz 1,Sina Diekmann,Match Report,
,,,,,,,,,,,
4,Fri,2019-09-20,19:15 (12:15),Hoffenheim,7–0,Essen,640,Dietmar-Hopp-Stadion,Fabienne Michel,Match Report,
4,Sat,2019-09-21,13:00 (06:00),Turbine Potsdam,0–3,Wolfsburg,"2,032",Karl-Liebknecht-Stadion,Susann Kunkel,Match Report,
4,Sun,2019-09-22,14:00 (07:00),USV Jena,2–2,Köln,388,Ernst-Abbe-Sportfeld,Melissa Joos,Match Report,
4,Sun,2019-09-22,14:00 (07:00),Leverkusen,1–3,FFC Frankfurt,428,Ulrich-Haberland-Stadion,Nadine Westerhoff,Match Report,
Wk ,Day ,Date ,Time ,Home ,Score ,Away ,Attendance ,Venue ,Referee ,Match Report ,Notes
4,Sun,2019-09-22,14:00 (07:00),MSV Duisburg,0–1,Freiburg,455,PCC-Stadion,Sina Diekmann,Match Report,
4,Sun,2019-09-22,14:00 (07:00),Sand,0–5,Bayern Munich,"2,164",Orsay Stadion,Christina Biehl,Match Report,
,,,,,,,,,,,
5,Fri,2019-09-27,19:15 (12:15),Leverkusen,1–2,Sand,467,Jugendleistungszentrum Kurtekotten,Susann Kunkel,Match Report,
5,Sat,2019-09-28,13:00 (06:00),Essen,2–0,Turbine Potsdam,"1,113",Stadion Essen,Anna-Lena Heidenreich,Match Report,
5,Sun,2019-09-29,14:00 (07:00),Bayern Munich,4–0,MSV Duisburg,498,FC Bayern Campus Platz 1,Kathrin Heimann,Match Report,
5,Sun,2019-09-29,14:00 (07:00),Freiburg,1–5,Hoffenheim,"1,188",Möslestadion,Melissa Joos,Match Report,
5,Sun,2019-09-29,14:00 (07:00),Wolfsburg,8–1,USV Jena,"1,473",AOK Stadion,Sandra Stolz,Match Report,
5,Sun,2019-09-29,14:00 (07:00),FFC Frankfurt,1–0,Köln,"1,360",Stadion am Brentanobad,Angelika Söder,Match Report,
,,,,,,,,,,,
6,Fri,2019-10-11,19:15 (12:15),Köln,0–5,Wolfsburg,890,Franz-Kremer-Stadion,Fabienne Michel,Match Report,
6,Sat,2019-10-12,13:00 (06:00),Hoffenheim,1–0,Bayern Munich,"1,650",Dietmar-Hopp-Stadion,Mirka Derlin,Match Report,
6,Sun,2019-10-13,14:00 (07:00),MSV Duisburg,2–1,Leverkusen,460,PCC-Stadion,Karoline Wacker,Match Report,
6,Sun,2019-10-13,14:00 (07:00),Turbine Potsdam,4–5,Freiburg,"1,471",Karl-Liebknecht-Stadion,Riem Hussein,Match Report,
6,Sun,2019-10-13,14:00 (07:00),Sand,3–0,FFC Frankfurt,523,Orsay Stadion,Christine Weigelt ,Match Report,
6,Sun,2019-10-13,14:00 (07:00),USV Jena,1–7,Essen,415,Ernst-Abbe-Sportfeld,Miriam Schweinefuß,Match Report,
,,,,,,,,,,,
7,Fri,2019-10-18,19:15 (12:15),Leverkusen,1–3,Hoffenheim,401,Ulrich-Haberland-Stadion,Anna-Lena Heidenreich,Match Report,
7,Sun,2019-10-20,14:00 (07:00),Sand,0–2,MSV Duisburg,472,Orsay Stadion,Ines Appelmann,Match Report,
7,Sun,2019-10-20,14:00 (07:00),Essen,3–1,Köln,967,Stadion Essen,Franziska Wildfeuer,Match Report,
7,Sun,2019-10-20,14:00 (07:00),Freiburg,4–0,USV Jena,"1,011",Möslestadion,Kathrin Heimann,Match Report,
7,Sun,2019-10-20,14:00 (07:00),Bayern Munich,3–1,Turbine Potsdam,956,FC Bayern Campus Platz 1,Nadine Westerhoff,Match Report,
7,Sun,2019-10-20,14:00 (07:00),FFC Frankfurt,0–3,Wolfsburg,"2,050",Stadion am Brentanobad,Christina Biehl,Match Report,
,,,,,,,,,,,
8,Fri,2019-10-25,19:15 (12:15),Turbine Potsdam,1–0,Leverkusen,"1,095",Karl-Liebknecht-Stadion,Franziska Wildfeuer,Match Report,
Wk ,Day ,Date ,Time ,Home ,Score ,Away ,Attendance ,Venue ,Referee ,Match Report ,Notes
8,Sat,2019-10-26,13:00 (06:00),Wolfsburg,5–1,Essen,"1,569",AOK Stadion,Angelika Söder,Match Report,
8,Sun,2019-10-27,14:00 (08:00),Köln,2–4,Freiburg,550,Franz-Kremer-Stadion,Susann Kunkel,Match Report,
8,Sun,2019-10-27,14:00 (08:00),USV Jena,0–3,Bayern Munich,817,Ernst-Abbe-Sportfeld,Christine Weigelt ,Match Report,
8,Sun,2019-10-27,14:00 (08:00),Hoffenheim,1–0,Sand,470,Dietmar-Hopp-Stadion,Karoline Wacker,Match Report,
8,Sun,2019-10-27,14:00 (08:00),MSV Duisburg,1–2,FFC Frankfurt,494,PCC-Stadion,Sina Diekmann,Match Report,
,,,,,,,,,,,
9,Fri,2019-11-01,19:15 (13:15),FFC Frankfurt,1–1,Essen,970,Stadion am Brentanobad,Melissa Joos,Match Report,
9,Sun,2019-11-03,14:00 (07:00),Sand,0–4,Turbine Potsdam,423,Orsay Stadion,Fabienne Michel,Match Report,
9,Sun,2019-11-03,14:00 (07:00),MSV Duisburg,0–4,Hoffenheim,352,PCC-Stadion,Sandra Stolz,Match Report,
9,Sun,2019-11-03,14:00 (07:00),Freiburg,0–8,Wolfsburg,"1,189",Möslestadion,Ines Appelmann,Match Report,
9,Sun,2019-11-03,14:00 (07:00),Leverkusen,2–0,USV Jena,210,Jugendleistungszentrum Kurtekotten,Mirka Derlin,Match Report,
9,Sun,2019-11-03,14:00 (07:00),Bayern Munich,5–2,Köln,476,FC Bayern Campus Platz 1,Miriam Schweinefuß,Match Report,
,,,,,,,,,,,
10,Fri,2019-11-22,19:15 (12:15),FFC Frankfurt,2–2,Hoffenheim,910,Stadion am Brentanobad,Franziska Wildfeuer,Match Report,
10,Sat,2019-11-23,13:00 (06:00),Köln,4–3,Leverkusen,355,Südstadion,Christina Biehl,Match Report,
10,Sat,2019-11-23,13:00 (06:00),Essen,5–0,Freiburg,963,Stadion Essen,Mirka Derlin,Match Report,
10,Sat,2019-11-23,13:00 (06:00),USV Jena,0–2,Sand,213,Ernst-Abbe-Sportfeld,Kathrin Heimann,Match Report,
10,Sat,2019-11-23,13:00 (06:00),Wolfsburg,1–1,Bayern Munich,"3,245",AOK Stadion,Karoline Wacker,Match Report,
10,Sun,2019-11-24,14:00 (07:00),Turbine Potsdam,2–1,MSV Duisburg,"1,137",Karl-Liebknecht-Stadion,Miriam Schweinefuß,Match Report,
,,,,,,,,,,,
11,Fri,2019-11-29,19:15 (12:15),Leverkusen,0–7,Wolfsburg,458,Ulrich-Haberland-Stadion,Christine Weigelt ,Match Report,
11,Sat,2019-11-30,13:00 (06:00),MSV Duisburg,0–0,USV Jena,350,PCC-Stadion,Ines Appelmann,Match Report,
11,Sun,2019-12-01,14:00 (07:00),Freiburg,3–3,FFC Frankfurt,322,Möslestadion,Nadine Westerhoff,Match Report,
11,Sun,2019-12-01,14:00 (07:00),Bayern Munich,2–0,Essen,523,FC Bayern Campus Platz 1,Susann Kunkel,Match Report,
11,Sun,2019-12-01,14:00 (07:00),Sand,2–1,Köln,264,Orsay Stadion,Angelika Söder,Match Report,
Wk ,Day ,Date ,Time ,Home ,Score ,Away ,Attendance ,Venue ,Referee ,Match Report ,Notes
11,Sun,2019-12-01,14:00 (07:00),Hoffenheim,5–1,Turbine Potsdam,450,Dietmar-Hopp-Stadion,Sina Diekmann,Match Report,
,,,,,,,,,,,
12,Fri,2019-12-06,19:15 (12:15),Bayern Munich,2–0,Freiburg,603,FC Bayern Campus Platz 1,Sandra Stolz,Match Report,
12,Sat,2019-12-07,13:00 (06:00),Turbine Potsdam,4–3,FFC Frankfurt,"1,011",Karl-Liebknecht-Stadion,Kathrin Heimann,Match Report,
12,Sun,2019-12-08,14:00 (07:00),Leverkusen,2–0,Essen,365,Jugendleistungszentrum Kurtekotten,Fabienne Michel,Match Report,
12,Sun,2019-12-08,14:00 (07:00),Hoffenheim,2–0,USV Jena,240,Dietmar-Hopp-Stadion,Angelika Söder,Match Report,
12,Sun,2019-12-08,14:00 (07:00),Sand,0–4,Wolfsburg,876,Orsay Stadion,Miriam Schweinefuß,Match Report,
,,,,,,,,,,,
13,Fri,2019-12-13,19:15 (12:15),FFC Frankfurt,2–3,Bayern Munich,"1,220",Stadion am Brentanobad,Christina Biehl,Match Report,
13,Sat,2019-12-14,13:00 (06:00),Wolfsburg,4–0,MSV Duisburg,"1,588",AOK Stadion,Franziska Wildfeuer,Match Report,
13,Sun,2019-12-15,14:00 (07:00),Köln,0–1,Hoffenheim,465,Südstadion,Mirka Derlin,Match Report,
13,Sun,2019-12-15,14:00 (07:00),USV Jena,1–6,Turbine Potsdam,432,Ernst-Abbe-Sportfeld,Anna-Lena Heidenreich,Match Report,
13,Sun,2019-12-15,14:00 (07:00),Freiburg,1–1,Leverkusen,831,Möslestadion,Karoline Wacker,Match Report,
13,Sun,2019-12-15,14:00 (07:00),Essen,5–2,Sand,978,Stadion Essen,Sandra Stolz,Match Report,
,,,,,,,,,,,
14,Fri,2020-02-14,19:15 (12:15),Hoffenheim,2–5,Wolfsburg,"1,710",Dietmar-Hopp-Stadion,Angelika Söder,Match Report,
14,Sun,2020-02-16,14:00 (07:00),Leverkusen,0–3,Bayern Munich,775,Ulrich-Haberland-Stadion,Nadine Westerhoff,Match Report,
14,Sun,2020-02-16,14:00 (07:00),MSV Duisburg,0–4,Essen,441,PCC-Stadion,Christine Weigelt ,Match Report,
14,Sun,2020-02-16,14:00 (07:00),USV Jena,2–3,FFC Frankfurt,281,Ernst-Abbe-Sportfeld,Sina Diekmann,Match Report,
14,Sun,2020-02-16,14:00 (07:00),Turbine Potsdam,5–0,Köln,"1,227",Karl-Liebknecht-Stadion,Miriam Schweinefuß,Match Report,
14,Sun,2020-02-16,14:00 (07:00),Sand,0–2,Freiburg,"1,125",Orsay Stadion,Kathrin Heimann,Match Report,
,,,,,,,,,,,
15,Fri,2020-02-21,19:15 (12:15),Wolfsburg,5–1,Turbine Potsdam,"1,820",AOK Stadion,Katrin Rafalski,Match Report,
15,Sat,2020-02-22,13:00 (06:00),Essen,3–2,Hoffenheim,"1,082",Stadion Essen,Anna-Lena Heidenreich,Match Report,
15,Sun,2020-02-23,14:00 (07:00),Bayern Munich,3–1,Sand,633,FC Bayern Campus Platz 1,Mirka Derlin,Match Report,
Wk ,Day ,Date ,Time ,Home ,Score ,Away ,Attendance ,Venue ,Referee ,Match Report ,Notes
15,Sun,2020-02-23,14:00 (07:00),FFC Frankfurt,3–1,Leverkusen,820,Stadion am Brentanobad,Ines Appelmann,Match Report,
15,Sun,2020-02-23,14:00 (07:00),Freiburg,2–2,MSV Duisburg,847,Möslestadion,Christina Biehl,Match Report,
,,,,,,,,,,,
16,Fri,2020-02-28,19:15 (12:15),Turbine Potsdam,1–0,Essen,"1,035",Karl-Liebknecht-Stadion,Riem Hussein,Match Report,
16,Sun,2020-03-01,14:00 (07:00),Köln,1–4,FFC Frankfurt,419,Südstadion,Franziska Wildfeuer,Match Report,
16,Sun,2020-03-01,14:00 (07:00),Sand,1–0,Leverkusen,650,Orsay Stadion,Angelika Söder,Match Report,
16,Sun,2020-03-01,14:00 (07:00),Hoffenheim,4–1,Freiburg,550,Dietmar-Hopp-Stadion,Karoline Wacker,Match Report,
16,Sun,2020-03-01,14:00 (07:00),MSV Duisburg,2–2,Bayern Munich,647,PCC-Stadion,Susann Kunkel,Match Report,
16,Sun,2020-03-01,14:00 (07:00),USV Jena,0–6,Wolfsburg,477,Ernst-Abbe-Sportfeld,Kathrin Heimann,Match Report,
,,,,,,,,,,,
17,Fri,2020-05-29,14:00 (07:00),Wolfsburg,4–0,Köln,,AOK Stadion,Riem Hussein,Match Report,
17,Fri,2020-05-29,19:15 (12:15),FFC Frankfurt,3–1,Sand,,Stadion am Brentanobad,Christina Biehl,Match Report,
17,Sat,2020-05-30,13:00 (06:00),Bayern Munich,3–0,Hoffenheim,,FC Bayern Campus Platz 1,Karoline Wacker,Match Report,
17,Sat,2020-05-30,13:00 (06:00),Freiburg,3–2,Turbine Potsdam,,Möslestadion,Fabienne Michel,Match Report,
17,Sat,2020-05-30,14:00 (07:00),Leverkusen,0–2,MSV Duisburg,,Jugendleistungszentrum Kurtekotten,Kathrin Heimann,Match Report,
,,,,,,,,,,,
12,Thu,2020-06-04,18:00 (11:00),MSV Duisburg,1–1,Köln,,Schauinsland-Reisen-Arena,Nadine Westerhoff,Match Report,
,,,,,,,,,,,
18,Fri,2020-06-05,19:15 (12:15),Hoffenheim,4–1,Leverkusen,,Dietmar-Hopp-Stadion,Angelika Söder,Match Report,
18,Sat,2020-06-06,13:00 (06:00),Wolfsburg,5–1,FFC Frankfurt,,AOK Stadion,Franziska Wildfeuer,Match Report,
18,Sun,2020-06-07,14:00 (07:00),Köln,1–0,Essen,,Franz-Kremer-Stadion,Christina Biehl,Match Report,
18,Sun,2020-06-07,14:00 (07:00),Freiburg,6–0,USV Jena,,Möslestadion,Melissa Joos,Match Report,
18,Sun,2020-06-07,14:00 (07:00),MSV Duisburg,0–2,Sand,,Schauinsland-Reisen-Arena,Sina Diekmann,Match Report,
18,Sun,2020-06-07,14:00 (07:00),Turbine Potsdam,1–5,Bayern Munich,,Karl-Liebknecht-Stadion,Susann Kunkel,Match Report,
,,,,,,,,,,,
Wk ,Day ,Date ,Time ,Home ,Score ,Away ,Attendance ,Venue ,Referee ,Match Report ,Notes
15,Wed,2020-06-10,16:00 (09:00),Köln,1–0,USV Jena,,Franz-Kremer-Stadion,Kathrin Heimann,Match Report,
,,,,,,,,,,,
19,Fri,2020-06-12,19:15 (12:15),FFC Frankfurt,5–1,MSV Duisburg,,Stadion am Brentanobad,Melissa Joos,Match Report,
19,Sat,2020-06-13,13:00 (06:00),Essen,0–3,Wolfsburg,,Stadion Essen,Christina Biehl,Match Report,
19,Sun,2020-06-14,14:00 (07:00),Sand,0–6,Hoffenheim,,Orsay Stadion,Fabienne Michel,Match Report,
19,Sun,2020-06-14,14:00 (07:00),Leverkusen,1–5,Turbine Potsdam,,Jugendleistungszentrum Kurtekotten,Sina Diekmann,Match Report,
19,Sun,2020-06-14,14:00 (07:00),Bayern Munich,2–0,USV Jena,,FC Bayern Campus Platz 1,Nadine Westerhoff,Match Report,
19,Sun,2020-06-14,14:00 (07:00),Freiburg,6–1,Köln,,Möslestadion,Karoline Wacker,Match Report,
,,,,,,,,,,,
20,Wed,2020-06-17,14:00 (07:00),Turbine Potsdam,2–1,Sand,,Karl-Liebknecht-Stadion,Anna-Lena Heidenreich,Match Report,
20,Wed,2020-06-17,14:00 (07:00),Wolfsburg,2–0,Freiburg,,AOK Stadion,Susann Kunkel,Match Report,
20,Wed,2020-06-17,14:00 (07:00),Köln,0–4,Bayern Munich,,Franz-Kremer-Stadion,Fabienne Michel,Match Report,
20,Wed,2020-06-17,15:00 (08:00),USV Jena,0–0,Leverkusen,,Ernst-Abbe-Sportfeld,Riem Hussein,Match Report,
20,Wed,2020-06-17,16:00 (09:00),Hoffenheim,3–0,MSV Duisburg,,Dietmar-Hopp-Stadion,Ines Appelmann,Match Report,
20,Wed,2020-06-17,18:00 (11:00),Essen,2–1,FFC Frankfurt,,Stadion Essen,Karoline Wacker,Match Report,
,,,,,,,,,,,
21,Sun,2020-06-21,13:00 (06:00),Hoffenheim,4–0,FFC Frankfurt,,Dietmar-Hopp-Stadion,Christina Biehl,Match Report,
21,Sun,2020-06-21,13:00 (06:00),Bayern Munich,0–0,Wolfsburg,,FC Bayern Campus Platz 1,Karoline Wacker,Match Report,
21,Sun,2020-06-21,13:00 (06:00),Freiburg,1–2,Essen,,Möslestadion,Riem Hussein,Match Report,
21,Sun,2020-06-21,15:00 (08:00),Sand,4–2,USV Jena,,Orsay Stadion,Angelika Söder,Match Report,
21,Sun,2020-06-21,15:00 (08:00),Leverkusen,3–1,Köln,,Ulrich-Haberland-Stadion,Franziska Wildfeuer,Match Report,
21,Sun,2020-06-21,15:00 (08:00),MSV Duisburg,0–0,Turbine Potsdam,,Schauinsland-Reisen-Arena,Kathrin Heimann,Match Report,
,,,,,,,,,,,
17,Wed,2020-06-24,16:00 (09:00),Essen,1–1,USV Jena,,Stadion Essen,Sina Diekmann,Match Report,
,,,,,,,,,,,
Wk ,Day ,Date ,Time ,Home ,Score ,Away ,Attendance ,Venue ,Referee ,Match Report ,Notes
22,Sun,2020-06-28,14:00 (07:00),Köln,1–0,Sand,,Franz-Kremer-Stadion,Nadine Westerhoff,Match Report,
22,Sun,2020-06-28,14:00 (07:00),Turbine Potsdam,2–1,Hoffenheim,,Karl-Liebknecht-Stadion,Mirka Derlin,Match Report,
22,Sun,2020-06-28,14:00 (07:00),FFC Frankfurt,0–2,Freiburg,,Stadion am Brentanobad,Ines Appelmann,Match Report,
22,Sun,2020-06-28,14:00 (07:00),Essen,0–3,Bayern Munich,,Stadion Essen,Susann Kunkel,Match Report,
22,Sun,2020-06-28,14:00 (07:00),USV Jena,0–2,MSV Duisburg,,Ernst-Abbe-Sportfeld,Fabienne Michel,Match Report,
22,Sun,2020-06-28,14:00 (07:00),Wolfsburg,5–0,Leverkusen,,AOK Stadion,Anna-Lena Heidenreich,Match Report,
